1,0,36000,0.03,0
2,36000,144000,0.10,2520
3,144000,300000,0.20,16920
4,300000,420000,0.25,31920
5,420000,660000,0.30,52920
6,660000,960000,0.35,85920
7,960000,1E+50,0.45,181920
